,season,team1,team2,0,teams,ANA,ARI,ATL,BAL,BOS,CHC,CHW,CIN,CLE,COL,DET,FLA,HOU,KCR,LAD,MIL,MIN,NYM,NYY,OAK,PHI,PIT,SDP,SEA,SFG,STL,TBD,TEX,TOR,WSN
0,1871.0,ATL,CHC,2.0,ATLCHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1871.0,ATL,CL1,2.0,ATLCL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1871.0,ATL,FW1,1.0,ATLFW1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1871.0,ATL,NY2,3.0,ATLNY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1871.0,ATL,PH1,2.0,ATLPH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1871.0,ATL,RC1,2.0,ATLRC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1871.0,ATL,TRO,3.0,ATLTRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1871.0,ATL,WS3,1.0,ATLWS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1871.0,CHC,ATL,2.0,ATLCHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1871.0,CHC,CL1,2.0,CHCCL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1871.0,CHC,FW1,1.0,CHCFW1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1871.0,CHC,NY2,2.0,CHCNY2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1871.0,CHC,PH1,3.0,CHCPH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1871.0,CHC,RC1,3.0,CHCRC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1871.0,CHC,WS3,4.0,CHCWS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1871.0,CL1,ATL,2.0,ATLCL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1871.0,CL1,CHC,1.0,CHCCL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
